Address,BlockNumber,StreetName,Lon,Lat
500 15TH ST NW Charlottesville VA,500,15TH ST NW,-78.49824701772678,38.03917922854668
200 12TH ST NE Charlottesville VA,200,12TH ST NE,-78.47021034432666,38.0274006117012
100 EMMET ST Charlottesville VA,100,EMMET ST,-78.5064814457039,38.03997733571086
500 E MAIN ST Charlottesville VA,500,E MAIN ST,-78.47990301620767,38.03052155605564
1100 E MARKET ST Charlottesville VA,1100,E MARKET ST,-78.47243668473507,38.028252618094434
100 E HIGH ST Charlottesville VA,100,E HIGH ST,-78.48050285402925,38.03260777503615
2100 IVY RD Charlottesville VA,2100,IVY RD,-78.51143229141982,38.04204026133825
100 WELK PL Charlottesville VA,100,WELK PL,-78.50349147646938,38.016268027566404
1000 FERN CT Charlottesville VA,1000,FERN CT,-78.467618,38.04454399999999
2000 HOLIDAY DR Charlottesville VA,2000,HOLIDAY DR,-78.49268190786908,38.057732501572055
100 CARLTON AVE Charlottesville VA,100,CARLTON AVE,-78.4636123,38.0215306
500 CHERRY AVE Charlottesville VA,500,CHERRY AVE,-78.49062333053908,38.02668142036636
2500 JEFFERSON PARK AV Charlottesville VA,2500,JEFFERSON PARK AV,-78.5144704,38.0203443
100 WASHINGTON AVE Charlottesville VA,100,WASHINGTON AVE,-78.51294704864367,38.02700232826642
2200 BERKSHIRE RD Charlottesville VA,2200,BERKSHIRE RD,-78.4977444,38.0635005
2200 N BERKSHIRE RD Charlottesville VA,2200,N BERKSHIRE RD,-78.49751581491054,38.063514459485276
300 15TH ST SW Charlottesville VA,300,15TH ST SW,-78.49937249999999,38.03632109999999
700 MCINTIRE RD Charlottesville VA,700,MCINTIRE RD,-78.47874560114576,38.03798347392209
100 250 BYPASS Charlottesville VA,100,250 BYPASS,-78.47092353734628,38.039779536356974
400 250 BYPASS Charlottesville VA,400,250 BYPASS,-78.47075149558948,38.03910630968359
700 6TH ST Charlottesville VA,700,6TH ST,-78.4807277,38.0250973
100 SHASTA CT Charlottesville VA,100,SHASTA CT,-78.51173116211841,38.01312778673042
600 PRESTON AV Charlottesville VA,600,PRESTON AV,-78.48628819999999,38.0347049
1800 MONTICELLO RD Charlottesville VA,1800,MONTICELLO RD,-78.47292174836454,38.01533101535011
800 PAGE ST Charlottesville VA,800,PAGE ST,-78.49047471719044,38.034455562295115
600 E. MARKET STREET Charlottesville VA,600,E. MARKET STREET,-78.47736589001234,38.03058582955321
800 MONTICELLO RD Charlottesville VA,800,MONTICELLO RD,-78.47324649783597,38.022064995767174
100 OBSERVATORY AVE Charlottesville VA,100,OBSERVATORY AVE,-78.5134339,38.0264386
1000 PRESTON AVE Charlottesville VA,1000,PRESTON AVE,-78.49143765389731,38.03976560681569
200 STADIUM RD Charlottesville VA,200,STADIUM RD,-78.5096248,38.0321401
800 WEST ST Charlottesville VA,800,WEST ST,-78.48904910202091,38.0360021834565
800 ROCKLAND AVE Charlottesville VA,800,ROCKLAND AVE,-78.48210489228069,38.01747142230712
200 15TH ST NW Charlottesville VA,200,15TH ST NW,-78.5000158909438,38.034862033467675
600 BELMONT AVE Charlottesville VA,600,BELMONT AVE,-78.48046226113848,38.02569338043319
500 HARRIS RD Charlottesville VA,500,HARRIS RD,-78.50382804693051,38.015086747828505
900 SEMINOLE TRL Charlottesville VA,900,SEMINOLE TRL,-78.49144849999999,38.0624288
100 WEST MAIN STREET Charlottesville VA,100,WEST MAIN STREET,-78.48183,38.030472
800 LOCUST AVENUE Charlottesville VA,800,LOCUST AVENUE,-78.4687459,38.0354464
600 HARRIS ST Charlottesville VA,600,HARRIS ST,-78.48553369999999,38.0350986
700 W MAIN ST Charlottesville VA,700,W MAIN ST,-78.48997515767564,38.03134853152738
500 STEWART ST Charlottesville VA,500,STEWART ST,-78.46467389718117,38.03087522591593
600 MCINTIRE RD Charlottesville VA,600,MCINTIRE RD,-78.47982375260742,38.03643906897391
400 PRESTON AVE Charlottesville VA,400,PRESTON AVE,-78.48442235737997,38.03415503833399
100 OAKHURST CIR Charlottesville VA,100,OAKHURST CIR,-78.50695406537416,38.03160317124829
1700 CHESAPEAKE ST Charlottesville VA,1700,CHESAPEAKE ST,-78.45787230395645,38.02396742414384
300 14TH ST NW Charlottesville VA,300,14TH ST NW,-78.49853988487214,38.036099014423215
2200 BRANDYWINE DR Charlottesville VA,2200,BRANDYWINE DR,-78.4758431177827,38.06442519723477
500 13TH ST NW Charlottesville VA,500,13TH ST NW,-78.49554927471486,38.03901522036337
100 2ND ST Charlottesville VA,100,2ND ST,-78.4820685,38.031248
400 4TH NW Charlottesville VA,400,4TH NW,-78.4854407,38.0336029
300 W MAIN ST Charlottesville VA,300,W MAIN ST,-78.48611251644114,38.03062187421424
1300 NUNLEY ST Charlottesville VA,1300,NUNLEY ST,-78.50174580000001,38.0272177
2200 BARRACKS ROAD Charlottesville VA,2200,BARRACKS ROAD,-78.5015319,38.0552122
600 LEXINGTON AVE Charlottesville VA,600,LEXINGTON AVE,-78.471751,38.0340494
500 EAST MARKET STREET Charlottesville VA,500,EAST MARKET STREET,-78.4781349,38.0307841
100 2ND ST SE Charlottesville VA,100,2ND ST SE,-78.48087565136882,38.03086013528265
1600 JEFFERSON PARK AVE Charlottesville VA,1600,JEFFERSON PARK AVE,-78.5073654,38.0317287
0 UNIVERSITY CIR Charlottesville VA,0,UNIVERSITY CIR,-78.50064069992976,38.04211301344429
1000 BLENHEIM AVE Charlottesville VA,1000,BLENHEIM AVE,-78.4759321900478,38.020987661624034
1100 MONTROSE AVE Charlottesville VA,1100,MONTROSE AVE,-78.4748905207248,38.01935829244568
1700 PRESTON AVE Charlottesville VA,1700,PRESTON AVE,-78.4930657,38.0451758
100 YELLOWSTONE DR Charlottesville VA,100,YELLOWSTONE DR,-78.5232757,38.0160342
800 W MAIN ST Charlottesville VA,800,W MAIN ST,-78.49043275716387,38.03219623208945
1000 SHERIDAN AVE Charlottesville VA,1000,SHERIDAN AVE,-78.4648181532693,38.041795427399805
800 MAIN ST Charlottesville VA,800,MAIN ST,-78.490864,38.0317157
